M,N,K,actual_cycles,tiledataflow_cycles,tileflow_cycles,llmcompass_cycles
512,512,512,15643,15806,12289,17637
512,512,1024,26572,26758,24576,34973
512,512,1536,37532,37710,36864,52309
512,512,2048,48419,48662,49152,69645
512,1024,512,15585,15806,12289,17981
512,1024,1024,26499,26758,24576,35317
512,1024,1536,37558,37710,36864,52653
512,1024,2048,48474,48662,49152,69989
512,1536,512,15679,15807,12289,18325
512,1536,1024,26698,26759,24576,35661
512,1536,1536,37597,37711,36864,52997
512,1536,2048,48595,48663,49152,70333
512,2048,512,15770,15818,12562,18670
512,2048,1024,26770,26770,24849,36006
512,2048,1536,37659,37722,37137,53342
512,2048,2048,48674,48674,49425,70678
1024,512,512,15577,15806,12289,17981
1024,512,1024,26546,26758,24576,35317
1024,512,1536,37458,37710,36864,52653
1024,512,2048,48410,48662,49152,69989
1024,1024,512,15796,15818,12536,18631
1024,1024,1024,26623,26770,24823,35967
1024,1024,1536,37657,37722,37111,53303
1024,1024,2048,48568,48674,49399,70639
1024,1536,512,15940,15926,13401,19282
1024,1536,1024,26703,26878,25688,36618
1024,1536,1536,37701,37830,37976,53954
1024,1536,2048,48627,48782,50264,71290
1024,2048,512,15909,16112,16359,19931
1024,2048,1024,26820,27064,31039,37267
1024,2048,1536,37934,38016,45719,54603
1024,2048,2048,48834,48968,60399,71939
1536,512,512,15644,15807,12289,18325
1536,512,1024,26602,26759,24576,35661
1536,512,1536,37492,37711,36864,52997
1536,512,2048,48503,48663,49152,70333
1536,1024,512,15763,15926,13401,19282
1536,1024,1024,26602,26878,25688,36618
1536,1024,1536,37588,37830,37976,53954
1536,1024,2048,48545,48782,50264,71290
1536,1536,512,15987,16328,18247,20237
1536,1536,1024,26874,27280,34604,37573
1536,1536,1536,37758,38232,50962,54909
1536,1536,2048,48717,49184,67320,72245
1536,2048,512,16515,16974,24118,21193
1536,2048,1024,27348,27926,45719,38529
1536,2048,1536,38323,38878,67319,55865
1536,2048,2048,49172,49830,88920,73201
2048,512,512,15661,15818,12562,18670
2048,512,1024,26562,26770,24849,36006
2048,512,1536,37475,37722,37137,53342
2048,512,2048,48396,48674,49425,70678
2048,1024,512,15781,16112,16359,19931
2048,1024,1024,26770,27064,31039,37267
2048,1024,1536,37674,38016,45719,54603
2048,1024,2048,48544,48968,60399,71939
2048,1536,512,16389,16974,24118,21193
2048,1536,1024,27449,27926,45719,38529
2048,1536,1536,38127,38878,67319,55865
2048,1536,2048,49311,49830,88920,73201
2048,2048,512,16881,18213,31878,22454
2048,2048,1024,27794,29541,60399,39790
2048,2048,1536,38456,40869,88920,57126
2048,2048,2048,49495,52197,117441,74462
