M,N,K,tag,actual_cycles,sim_cycles
512,512,512,fused_silu,29473,24576
512,512,1024,fused_silu,40769,49152
512,512,1536,fused_silu,52036,73728
512,512,2048,fused_silu,63374,98304
512,1024,512,fused_silu,29376,24576
512,1024,1024,fused_silu,40681,49152
512,1024,1536,fused_silu,52075,73728
512,1024,2048,fused_silu,63373,98304
512,1536,512,fused_silu,29613,24576
512,1536,1024,fused_silu,40940,49152
512,1536,1536,fused_silu,52197,73728
512,1536,2048,fused_silu,63458,98304
512,2048,512,fused_silu,29583,24576
512,2048,1024,fused_silu,40978,49152
512,2048,1536,fused_silu,52116,73728
512,2048,2048,fused_silu,63643,98304
1024,512,512,fused_silu,29480,24576
1024,512,1024,fused_silu,40730,49152
1024,512,1536,fused_silu,52006,73728
1024,512,2048,fused_silu,63461,98304
1024,1024,512,fused_silu,29543,24576
1024,1024,1024,fused_silu,41001,49152
1024,1024,1536,fused_silu,52274,73728
1024,1024,2048,fused_silu,63764,98304
1024,1536,512,fused_silu,29635,24576
1024,1536,1024,fused_silu,41036,49152
1024,1536,1536,fused_silu,52430,73728
1024,1536,2048,fused_silu,63618,98304
1024,2048,512,fused_silu,29899,25017
1024,2048,1024,fused_silu,40963,49593
1024,2048,1536,fused_silu,52481,74169
1024,2048,2048,fused_silu,63819,98745
1536,512,512,fused_silu,29583,24576
1536,512,1024,fused_silu,40945,49152
1536,512,1536,fused_silu,52250,73728
1536,512,2048,fused_silu,63602,98304
1536,1024,512,fused_silu,29833,24576
1536,1024,1024,fused_silu,40854,49152
1536,1024,1536,fused_silu,52299,73728
1536,1024,2048,fused_silu,63698,98304
1536,1536,512,fused_silu,29893,25437
1536,1536,1024,fused_silu,41268,50013
1536,1536,1536,fused_silu,52649,74589
1536,1536,2048,fused_silu,63911,99165
1536,2048,512,fused_silu,30715,26721
1536,2048,1024,fused_silu,41972,51297
1536,2048,1536,fused_silu,53147,75873
1536,2048,2048,fused_silu,64456,100449
2048,512,512,fused_silu,29525,24576
2048,512,1024,fused_silu,40914,49152
2048,512,1536,fused_silu,52213,73728
2048,512,2048,fused_silu,63495,98304
2048,1024,512,fused_silu,29770,25017
2048,1024,1024,fused_silu,40989,49593
2048,1024,1536,fused_silu,52429,74169
2048,1024,2048,fused_silu,63502,98745
2048,1536,512,fused_silu,30769,26721
2048,1536,1024,fused_silu,41737,51297
2048,1536,1536,fused_silu,53000,75873
2048,1536,2048,fused_silu,64401,100449
2048,2048,512,fused_silu,31177,31878
2048,2048,1024,fused_silu,42861,60399
2048,2048,1536,fused_silu,54195,88920
2048,2048,2048,fused_silu,65392,117441
