scenario_id,scenario_title,model,mean_mape_percent,median_mape_percent,max_mape_percent,pearson_corr
a100_gemm,A100 GEMM,TileDataflow,2.491604,2.084435,13.694284,0.998393
a100_gemm,A100 GEMM,TileFlow,31.981799,35.112091,49.240969,0.922114
a100_gemm,A100 GEMM,LLMCompass,34.068137,32.759711,46.520137,0.996091
h100_gemm,H100 GEMM,TileDataflow,1.218946,0.790844,7.890528,0.999231
h100_gemm,H100 GEMM,TileFlow,24.321159,11.042323,137.278513,0.791290
h100_gemm,H100 GEMM,LLMCompass,36.986397,40.465601,50.443479,0.999031
h100_fused_gemm,H100 Fused GEMM + SiLU,TileDataflow,3.599267,3.893583,5.274710,0.999215
h100_fused_gemm,H100 Fused GEMM + SiLU,TileFlow,34.167273,40.770049,79.595363,0.996164
h100_fused_gemm,H100 Fused GEMM + SiLU,LLMCompass,14.990879,13.230181,37.539443,0.982645
h100_fp8_gemm,H100 FP8 GEMM,TileDataflow,5.402685,3.819837,19.357596,0.995398
h100_fp8_gemm,H100 FP8 GEMM,TileFlow,33.100549,32.029248,66.777118,0.915070
h100_fp8_gemm,H100 FP8 GEMM,LLMCompass,40.933720,47.502191,71.242047,0.978529
