scenario_id,scenario_title,batch,heads,heads_q,heads_kv,seq_q,seq_kv,seq_len,actual_cycles,tiledataflow_sim_cycles,llmcompass_cycles,tileflow_cycles
fa2,FA2,1,,8,8,512,512,,21052,23960,11310,8192
fa2,FA2,1,,8,8,1024,1024,,34771,36292,45246,32768
fa2,FA2,1,,8,8,1536,1536,,49766,49010,101806,73728
fa2,FA2,1,,8,8,2048,2048,,62300,61843,180990,131072
fa2,FA2,1,,16,16,512,512,,22492,24443,22622,16384
fa2,FA2,1,,16,16,1024,1024,,36993,37798,90494,65536
fa2,FA2,1,,16,16,1536,1536,,94291,101017,203612,147456
fa2,FA2,1,,16,16,2048,2048,,119198,126529,361981,262144
fa2,FA2,1,,32,32,512,512,,24363,26117,45246,32768
fa2,FA2,1,,32,32,1024,1024,,71635,78557,180990,131072
fa2,FA2,1,,32,32,1536,1536,,142767,154629,407227,294912
fa2,FA2,1,,32,32,2048,2048,,234830,254169,723962,524288
flashdecoding,FlashDecoding,1,,32,8,128,1024,,34910,35976,25078,16384
flashdecoding,FlashDecoding,1,,32,8,128,2048,,58043,60072,49544,32768
flashdecoding,FlashDecoding,1,,32,8,128,4096,,104306,108264,98478,65536
flashdecoding,FlashDecoding,1,,32,8,128,8192,,197560,204648,196344,131072
flashdecoding,FlashDecoding,2,,32,8,128,1024,,35306,36459,50156,32768
flashdecoding,FlashDecoding,2,,32,8,128,2048,,60605,60555,99090,65536
flashdecoding,FlashDecoding,2,,32,8,128,4096,,111279,108747,196956,131072
flashdecoding,FlashDecoding,2,,32,8,128,8192,,214296,205131,392691,262144
flashdecoding,FlashDecoding,4,,32,8,128,1024,,37504,38133,100312,65536
flashdecoding,FlashDecoding,4,,32,8,128,2048,,62495,62229,198180,131072
flashdecoding,FlashDecoding,4,,32,8,128,4096,,115240,110421,393915,262144
flashdecoding,FlashDecoding,4,,32,8,128,8192,,206534,206805,785382,524288
flashdecoding,FlashDecoding,8,,32,8,128,1024,,77748,78897,200626,131072
flashdecoding,FlashDecoding,8,,32,8,128,2048,,125540,127089,396361,262144
flashdecoding,FlashDecoding,8,,32,8,128,4096,,216666,223473,787830,524288
flashdecoding,FlashDecoding,8,,32,8,128,8192,,408713,416241,1570766,1048576
flashmla,FlashMLA,16,128,,,,,1024,80843,77683,24219,34816
flashmla,FlashMLA,16,128,,,,,2048,148095,142465,48440,69632
flashmla,FlashMLA,16,128,,,,,4096,284109,271489,96881,139264
flashmla,FlashMLA,16,128,,,,,8192,554290,529537,193763,278528
flashmla,FlashMLA,32,128,,,,,1024,82197,80224,48440,69632
flashmla,FlashMLA,32,128,,,,,2048,150154,144736,96881,139264
flashmla,FlashMLA,32,128,,,,,4096,285458,273760,193763,278528
flashmla,FlashMLA,32,128,,,,,8192,555728,531808,387527,557056
flashmla,FlashMLA,64,128,,,,,1024,87835,96456,96881,139264
flashmla,FlashMLA,64,128,,,,,2048,155508,171517,193763,278528
flashmla,FlashMLA,64,128,,,,,4096,289457,320959,387527,557056
flashmla,FlashMLA,64,128,,,,,8192,557894,619827,775056,1114112
