batch,heads_q,heads_kv,seq_q,seq_kv,actual_cycles,sim_cycles
1,32,8,128,1024,34910,16384
1,32,8,128,2048,58043,32768
1,32,8,128,4096,104306,65536
1,32,8,128,8192,197560,131072
2,32,8,128,1024,35306,32768
2,32,8,128,2048,60605,65536
2,32,8,128,4096,111279,131072
2,32,8,128,8192,214296,262144
4,32,8,128,1024,37504,65536
4,32,8,128,2048,62495,131072
4,32,8,128,4096,115240,262144
4,32,8,128,8192,206534,524288
8,32,8,128,1024,77748,131072
8,32,8,128,2048,125540,262144
8,32,8,128,4096,216666,524288
8,32,8,128,8192,408713,1048576
